director_name,director_avg_score,director_movie_count
john whitesell,5.674108150165337,5.0
george nolfi,6.5735135836088965,1.0
neil jordan,6.649313961665644,8.0
rawson marshall thurber,6.549009055739265,4.0
spike lee,6.544813404840637,16.0
brian helgeland,6.594108150165337,5.0
frank marshall,6.449009055739264,4.0
hideo nakata,6.290180250275562,1.0
peter hewitt,5.949009055739264,4.0
joe roth,6.177297357379054,2.0
bennett miller,6.76301164309334,2.0
jaume collet-serra,6.540098318332125,6.0
andy fickman,6.0855528637866705,6.0
james mcteigue,6.549009055739265,4.0
matthew o'callaghan,6.4901802502755634,1.0
angela robinson,6.048725928807626,2.0
gary fleder,6.549189227423034,6.0
tommy wirkola,6.405868785950482,2.0
adrian lyne,6.437897944628153,4.0
stephen gaghan,6.320154500236197,2.0
jorge r. gutiérrez,6.606846916942229,1.0
richard loncraine,6.492635187706672,3.0
christophe gans,6.4901802502755634,1.0
howard deutch,6.280135187706672,3.0
jon hurwitz,6.520154500236196,2.0
steven quale,6.2915830716647685,2.0
john landis,6.734108150165338,5.0
alexander witt,6.423513583608897,1.0
beeban kidron,6.373513583608896,1.0
carl franklin,6.517635187706672,3.0
steven seagal,6.123513583608896,1.0
danny boyle,7.06469857705026,8.0
andrew bergman,5.991583071664769,2.0
barbet schroeder,6.334440214521911,2.0
peter webber,6.505868785950483,2.0
andrew niccol,6.674108150165338,5.0
john carpenter,6.642738766776891,10.0
wes anderson,7.145090125137782,7.0
david cronenberg,6.812825591059397,6.0
john stockwell,6.593453500183709,4.0
david gordon green,6.424362964403812,9.0
jim sheridan,6.305135187706672,3.0
costa-gavras,6.548725928807626,2.0
patrick read johnson,6.220154500236197,2.0
richard lagravenese,6.564108150165337,5.0
danny devito,6.392635187706672,3.0
george armitage,6.377297357379054,2.0
patrick lussier,5.993453500183708,4.0
james wong,5.937897944628153,4.0
richard curtis,6.905135187706672,3.0
chuck bowman,6.1568469169422295,1.0
olivier megaton,6.3801351877066725,3.0
deepa mehta,6.848725928807625,2.0
warren beatty,6.592635187706672,3.0
penny marshall,6.593453500183709,4.0
ted kotcheff,6.673513583608897,1.0
andrei tarkovsky,6.7401802502755634,1.0
paul bolger,6.140180250275563,1.0
stephen frears,6.869405433443559,10.0
p.j. hogan,6.440180250275563,1.0
brad furman,6.5676351877066725,3.0
terence young,6.315675722405931,4.0
david zucker,5.864108150165338,5.0
denis villeneuve,7.336072100110226,10.0
thomas carter,6.542635187706672,3.0
roger michell,6.542635187706672,3.0
luis llosa,6.048725928807626,2.0
melville shavelson,6.590180250275563,1.0
garth jennings,6.523513583608896,1.0
joel zwick,6.177297357379054,2.0
russell mulcahy,6.382342389072598,4.0
david r. ellis,5.984108150165338,5.0
peter howitt,6.3601201668503755,4.0
john a. davis,6.320154500236197,2.0
david lynch,7.142738766776891,10.0
julie taymor,6.5676351877066725,3.0
mathieu kassovitz,6.248725928807625,2.0
john gray,6.273513583608896,1.0
john schultz,6.0676351877066725,3.0
sean penn,6.76301164309334,2.0
susan stroman,6.456846916942229,1.0
simon wincer,6.093453500183709,4.0
billy bob thornton,6.591583071664767,2.0
danny pang,6.205868785950483,2.0
george p. cosmatos,6.430135187706672,3.0
oliver parker,6.471231277961486,4.0
lawrence kasanoff,5.673513583608897,1.0
ben affleck,6.805868785950482,2.0
brian gibson,6.448725928807625,2.0
norman ferguson,6.640180250275563,1.0
michael cimino,6.76301164309334,2.0
paul mcguigan,6.642635187706672,3.0
gus van sant,6.853423458471116,7.0
roger kumble,6.017635187706672,3.0
burr steers,6.449009055739264,4.0
john hamburg,6.430135187706672,3.0
reginald hudlin,6.017635187706672,3.0
joseph l. mankiewicz,6.55684691694223,1.0
barbra streisand,6.5051351877066725,3.0
mark pellington,6.577297357379054,2.0
john glen,6.534108150165338,5.0
catherine hardwicke,6.276461954695762,6.0
john herzfeld,6.334440214521911,2.0
annabel jankel,6.05684691694223,1.0
julie anne robinson,6.205868785950483,2.0
evan goldberg,6.520154500236196,2.0
sngmoo lee,6.440180250275563,1.0
jamel debbouze,6.206846916942229,1.0
gordon chan,6.25684691694223,1.0
asger leth,6.4901802502755634,1.0
